feature,importance
Année-Modèle,0.34294665781783873
Boite de vitesses,0.10069803462053101
Marque,0.09912675517342123
Modèle,0.0960946478322922
Puissance fiscale,0.09347532387406636
Kilométrage,0.06771379870513394
Ville,0.03803554243224876
Première main,0.03545612453540409
Type de carburant,0.0344584192771513
ESP,0.025255163625798667
État,0.018615033539251813
Origine,0.01630579410131705
Climatisation,0.0105108801379395
ABS,0.009390855804516436
CD/MP3/Bluetooth,0.008953333109878003
Nombre de portes,0.0029636354132108406
Jantes aluminium,0.0
Système de navigation/GPS,0.0
Toit ouvrant,0.0
Sièges cuir,0.0
Radar de recul,0.0
Caméra de recul,0.0
Vitres électriques,0.0
Régulateur de vitesse,0.0
Limiteur de vitesse,0.0
Ordinateur de bord,0.0
Verrouillage centralisé à distance,0.0
